"STATION,""NAME"",""LATITUDE"",""LONGITUDE"",""ELEVATION"",""DATE"",""PRCP"",""SNOW"",""SNWD"",""TAVG"",""TMAX"",""TMIN"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-19"",""0.00"",""0.0"",""0.0"",""45"",""55"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-20"",""0.00"",""0.0"",""0.0"",""46"",""56"",""36"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-21"",""0.10"",""0.0"",""0.0"",""46"",""58"",""36"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-22"",""0.46"",""0.0"",""0.0"",""47"",""49"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-23"",""0.35"",""0.0"",""0.0"",""41"",""49"",""34"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-24"",""0.23"",""0.0"",""0.0"",""41"",""47"",""34"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-25"",""0.04"",""0.0"",""0.0"",""43"",""52"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-26"",""0.15"",""0.0"",""0.0"",""44"",""46"",""40"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-27"",""0.08"",""0.0"",""0.0"",""47"",""52"",""45"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-28"",""0.00"",""0.0"",""0.0"",""47"",""54"",""44"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-29"",""0.00"",""0.0"",""0.0"",""48"",""55"",""43"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-30"",""0.00"",""0.0"",""0.0"",""50"",""57"",""46"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-31"",""0.00"",""0.0"",""0.0"",""50"",""59"",""45"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-01"",""0.00"",""0.0"",""0.0"",""47"",""50"",""38"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-02"",""0.00"",""0.0"",""0.0"",""43"",""53"",""36"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-03"",""0.00"",""0.0"",""0.0"",""45"",""50"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-04"",""0.29"",""0.0"",""0.0"",""45"",""50"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-05"",""0.21"",""0.0"",""0.0"",""49"",""56"",""46"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-06"",""0.05"",""0.0"",""0.0"",""54"",""65"",""49"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-07"",""0.82"",""0.0"",""0.0"",""57"",""62"",""46"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-08"",""0.39"",""0.0"",""0.0"",""48"",""51"",""46"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-09"",""0.00"",""0.0"",""0.0"",""50"",""62"",""44"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-10"",""0.18"",""0.0"",""0.0"",""54"",""60"",""46"""
